class,age,male,female
0,0 to 1,780.27,726.73
1,1 to 5,3012.12,2800.57
10,10 to 15,3655.8,3461.81
15,15 to 20,3021.9,3182.28
20,20 to 25,2893.41,3137.16
25,25 to 30,3048.27,2992.15
30,30 to 35,2798.17,2853.52
35,35 to 40,2686.83,2783.31
40,40 to 45,2507.21,2586.42
45,45 to 50,2233.36,2234.06
5,5 to 10,4249.73,3997.82
50,50 to 55,1830.93,1933.49
55,55 to 60,1395.59,1538.61
60,60 to 65,1157.7,1605.53
65,65 to 70,810.29,1127.69
70,70 to 75,381.21,632.14
75,75 to 80,162.9,272.37
80,80 and over,133.42,224.74
