class,age,male,female
0,0 to 1,1596.03,1504.69
1,1 to 5,6161.26,5798.6
10,10 to 15,7553.7,7223.49
15,15 to 20,6350.14,6451.67
20,20 to 25,6042.67,6093.95
25,25 to 30,6185.25,5855.09
30,30 to 35,5979.89,5967.78
35,35 to 40,5667.54,5404.45
40,40 to 45,5089.49,5228.17
45,45 to 50,4749.27,4568.71
5,5 to 10,7174.13,6948.73
50,50 to 55,3968.47,4220.04
55,55 to 60,3559.12,3860.39
60,60 to 65,3786.96,3970.35
65,65 to 70,2417.04,2639.8
70,70 to 75,1346.36,1698.47
75,75 to 80,686.55,1063.73
80,80 and over,622,940.14
