class,age,male,female
0,0 to 1,747.12,704.73
1,1 to 5,2884.15,2715.82
10,10 to 15,3535.4,3381.08
15,15 to 20,2956.5,3005.67
20,20 to 25,2811.81,2842.67
25,25 to 30,2883.34,2729.88
30,30 to 35,2786.72,2784.29
35,35 to 40,2639.78,2519.21
40,40 to 45,2370.39,2438
45,45 to 50,2214.17,2130.18
5,5 to 10,3360.2,3257.55
50,50 to 55,1847.51,1968.03
55,55 to 60,1656.78,1800.51
60,60 to 65,1769.71,1857.97
65,65 to 70,1126.23,1231.97
70,70 to 75,625.1,791.53
75,75 to 80,318.08,495.85
80,80 and over,288.31,438.38
