class,age,male,female
0,0 to 1,167.78,147.8
1,1 to 5,647.7,569.59
10,10 to 15,887.44,824.75
15,15 to 20,983.54,943.61
20,20 to 25,1068.01,986.09
25,25 to 30,1075.13,1007.61
30,30 to 35,1020.5,933.75
35,35 to 40,945.55,867.61
40,40 to 45,855.62,771.15
45,45 to 50,760.71,690.82
5,5 to 10,781.64,696.49
50,50 to 55,644.67,621.64
55,55 to 60,593.86,520.63
60,60 to 65,463.32,419.46
65,65 to 70,345.68,327.73
70,70 to 75,243.15,256.57
75,75 to 80,187.33,185.34
80,80 and over,150.02,158.62
