class,age,male,female
0,0 to 1,1123.86,1001.51
1,1 to 5,4338.51,3859.51
10,10 to 15,6175.65,5808.06
15,15 to 20,5966,6163.7
20,20 to 25,5987.91,6219.51
25,25 to 30,5966.46,6171.06
30,30 to 35,5609.27,5601.37
35,35 to 40,5104.38,5139.78
40,40 to 45,4659.49,4697.86
45,45 to 50,4239.47,4357.2
5,5 to 10,5310.84,4815.69
50,50 to 55,3844.21,4065.48
55,55 to 60,3552.09,3495.98
60,60 to 65,3006.45,2835.46
65,65 to 70,2389.51,2316.1
70,70 to 75,1719.89,1897.46
75,75 to 80,1384.97,1393.53
80,80 and over,1008.26,1079.28
