class,age,male,female
0,0 to 1,1155.46,1028.89
1,1 to 5,4460.49,3965.03
10,10 to 15,6291.94,5903.46
15,15 to 20,6147.4,6307.53
20,20 to 25,6249.91,6404.56
25,25 to 30,6216.44,6337.59
30,30 to 35,5830.89,5755.27
35,35 to 40,5312.35,5284.07
40,40 to 45,4828.41,4812.01
45,45 to 50,4377.35,4449.82
5,5 to 10,5442.88,4931.61
50,50 to 55,3941.77,4136.46
55,55 to 60,3632.08,3556.99
60,60 to 65,3061.97,2876.17
65,65 to 70,2402.22,2325.59
70,70 to 75,1727.19,1895.01
75,75 to 80,1373.84,1381.35
80,80 and over,1013.81,1080.85
