class,age,male,female
0,0 to 1,838.97,785.06
1,1 to 5,3238.75,3025.38
10,10 to 15,4362.92,4138.37
15,15 to 20,3843.24,3693.79
20,20 to 25,3610.44,3688.73
25,25 to 30,3667.39,3581.35
30,30 to 35,3397.66,3363.86
35,35 to 40,3259.24,3291.87
40,40 to 45,3033.71,3111.69
45,45 to 50,2831.07,2785.04
5,5 to 10,4374.28,4013.85
50,50 to 55,2405.49,2494.55
55,55 to 60,2092.78,2037.37
60,60 to 65,1665.37,1694.02
65,65 to 70,1147.03,1186.53
70,70 to 75,650.67,810.85
75,75 to 80,385.98,489.51
80,80 and over,302.51,382.84
