class,age,male,female
0,0 to 1,1083.56,989.87
1,1 to 5,4182.93,3814.65
10,10 to 15,5638.98,5371.21
15,15 to 20,6283.06,6160.85
20,20 to 25,6901.64,6312.08
25,25 to 30,6696.44,5902.27
30,30 to 35,6118.5,5465.26
35,35 to 40,5551.31,5008.21
40,40 to 45,4843.58,4631.93
45,45 to 50,4390.51,4135.65
5,5 to 10,4927.93,4567.1
50,50 to 55,3695.47,3641.1
55,55 to 60,3328.09,2923.09
60,60 to 65,2502.54,2465.26
65,65 to 70,1858.69,1824.75
70,70 to 75,1123.75,1245.65
75,75 to 80,710.49,863.02
80,80 and over,635.31,711.66
