class,age,male,female
0,0 to 1,1223.81,1137.26
1,1 to 5,4724.34,4382.62
10,10 to 15,5926.44,5644.64
15,15 to 20,4970.22,4960.54
20,20 to 25,4693.62,4694.23
25,25 to 30,4871.48,4655.2
30,30 to 35,4868.79,4844.62
35,35 to 40,4818.79,4561.53
40,40 to 45,4293.69,4229.01
45,45 to 50,3824.14,3723.8
5,5 to 10,5803.67,5407.97
50,50 to 55,3298.99,3328.78
55,55 to 60,2817.91,3006.91
60,60 to 65,2612.4,2696.06
65,65 to 70,1726,1873.79
70,70 to 75,976.15,1266.99
75,75 to 80,532.28,763.76
80,80 and over,446.25,606.4
