class,age,male,female
0,0 to 1,603.52,562.11
1,1 to 5,2329.8,2166.19
10,10 to 15,2829.08,2679.5
15,15 to 20,2339.2,2462.71
20,20 to 25,2238.81,2427.29
25,25 to 30,2357.67,2314.53
30,30 to 35,2163.92,2207.03
35,35 to 40,2077.99,2152.69
40,40 to 45,1938.77,2000.2
45,45 to 50,1727.11,1727.09
5,5 to 10,3286.09,3091.49
50,50 to 55,1415.5,1495.63
55,55 to 60,1080.34,1191.26
60,60 to 65,897.37,1241.89
65,65 to 70,626.97,871.04
70,70 to 75,295.52,488.95
75,75 to 80,126.66,211.06
80,80 and over,103.54,174.15
