class,age,male,female
0,0 to 1,1714.3,1616.11
1,1 to 5,6617.84,6227.99
10,10 to 15,8847.05,8347.65
15,15 to 20,7295.61,7341.73
20,20 to 25,6848.11,6806.63
25,25 to 30,7107.69,6744.11
30,30 to 35,6674.18,6721.42
35,35 to 40,6505.47,6290.74
40,40 to 45,5737.07,5446.5
45,45 to 50,5030.08,4764.2
5,5 to 10,7713.06,7294.26
50,50 to 55,4221.34,4386.86
55,55 to 60,4018.39,4046.77
60,60 to 65,3850.26,3594.44
65,65 to 70,2528.48,2398.97
70,70 to 75,1539.36,1636.18
75,75 to 80,820.92,901.12
80,80 and over,661.93,715.05
