class,age,male,female
0,0 to 1,1730.38,1513.81
1,1 to 5,6679.9,5833.73
10,10 to 15,9627.68,9243.31
15,15 to 20,9413.58,9299.4
20,20 to 25,9292.16,8505.53
25,25 to 30,8718.12,8338.3
30,30 to 35,8106.11,8205.37
35,35 to 40,7624.34,7739.14
40,40 to 45,7048.82,6931.62
45,45 to 50,6214.97,5863.34
5,5 to 10,8730.23,7847.26
50,50 to 55,5188.1,5514.82
55,55 to 60,4615.88,4596.47
60,60 to 65,3959.01,4053.98
65,65 to 70,2900.92,2840.84
70,70 to 75,1975.1,2180.89
75,75 to 80,1253.29,1264.24
80,80 and over,1040.97,1134.07
