class,age,male,female
0,0 to 1,1329,1137.08
1,1 to 5,5130.44,4381.94
10,10 to 15,6988.48,6437.49
15,15 to 20,6706.05,6638.78
20,20 to 25,6963.43,6748.68
25,25 to 30,6846.3,6424.02
30,30 to 35,6766.08,6279
35,35 to 40,6250.01,5698.64
40,40 to 45,5468.53,5058.92
45,45 to 50,4805.27,4349.94
5,5 to 10,6169.83,5409.95
50,50 to 55,4060.72,3904.42
55,55 to 60,3650.36,3273.88
60,60 to 65,3004.92,2787.42
65,65 to 70,2114.26,1895.99
70,70 to 75,1403.55,1346.8
75,75 to 80,829.83,802.68
80,80 and over,754.49,699.65
