class,age,male,female
0,0 to 1,1177.93,1102.75
1,1 to 5,4547.26,4249.66
10,10 to 15,6118.32,5808.11
15,15 to 20,5328.25,5134.05
20,20 to 25,4989.06,5117.73
25,25 to 30,5078.02,4970.13
30,30 to 35,4702.29,4667.61
35,35 to 40,4507.69,4558.92
40,40 to 45,4203.46,4329.86
45,45 to 50,3928.05,3879.1
5,5 to 10,6162.35,5652.6
50,50 to 55,3333.29,3485.19
55,55 to 60,2903.62,2847.39
60,60 to 65,2334.13,2377.47
65,65 to 70,1593.59,1648.65
70,70 to 75,905.88,1130.69
75,75 to 80,530.46,674.29
80,80 and over,414.63,522.39
