class,age,male,female
0,0 to 1,449.24,402.24
1,1 to 5,1734.22,1550.11
10,10 to 15,2543.17,2329.26
15,15 to 20,2669.49,2622.88
20,20 to 25,2919.89,2839.93
25,25 to 30,3095.26,2987.06
30,30 to 35,2880.54,2660.06
35,35 to 40,2586.31,2436.83
40,40 to 45,2379.53,2288.15
45,45 to 50,2128.97,2067.34
5,5 to 10,2154.83,1933.07
50,50 to 55,1934.33,1959.27
55,55 to 60,1775.17,1655.57
60,60 to 65,1415.94,1287.11
65,65 to 70,1066.46,1037.04
70,70 to 75,799.43,886.49
75,75 to 80,645.08,638.12
80,80 and over,512.05,522.86
