TEHSIL,object_id,Mean_Daily_Runoff,Sum_Runoff,Peak_Runoff,timeperiod
AMB,02-029-00065,0.2108913151364764,84.98920000000001,4.625100000000001,2021_04
ANI,02-026-00011,0.8138827956989246,302.7644,14.371500000000005,2021_04
ARKI,02-031-00057,0.3491824884792627,151.54520000000002,7.254600000000001,2021_04
AUT,02-027-00018,1.404120430107527,261.1664,25.0401,2021_04
BADDI,02-031-00058,0.100236129032258,31.0732,2.7611,2021_04
BAIJNATH,02-024-02110,2.0859129032258066,775.9596,58.321200000000005,2021_04
BALDWARA,02-027-00019,0.3763870967741935,23.336,6.9242,2021_04
BALH,02-027-00020,0.2257720430107526,62.9904,8.434500000000002,2021_04
BALI CHOWKI,02-027-03430,0.770210138248848,501.4068,24.2946,2021_04
BAMSAN,02-028-01431,0.1826467741935483,22.6482,3.6562,2021_04
BANGANA,02-029-00066,0.1541001897533206,81.21079999999999,3.5914000000000006,2021_04
BANJAR,02-026-00012,0.5393516129032259,334.398,26.866299999999995,2021_04
BAROH,02-024-02111,0.1885174193548387,29.2202,3.01,2021_04
BARSAR,02-028-02854,0.078963440860215,14.6872,2.208,2021_04
BHARARI,02-030-02104,0.4334787096774193,67.1892,6.9335,2021_04
BHATTIYAT,02-023-00001,0.072968458781362,20.3582,2.0623,2021_04
BHORANJ,02-028-02855,0.1763532258064516,21.8678,2.9119,2021_04
BHUNTAR,02-026-00013,2.6317365193150137,6608.2904,125.1991,2021_04
BILASPUR,02-030-02105,0.1548193548387096,23.997,3.2483,2021_04
BRAHMAUR,02-023-00002,1.506782560483871,2989.4566,54.8375,2021_04
CHACHYOT,02-027-00022,0.5548432258064515,172.0014,24.7646,2021_04
CHAMBA,02-023-00003,0.4687668930390492,552.2074,30.474500000000003,2021_04
CHAUPAL,02-033-00034,0.4760985337243401,162.34959999999998,9.433699999999998,2021_04
CHAURAH,02-023-00004,0.6474984572230014,923.3328,20.2662,2021_04
CHIRGAON,02-033-00035,0.2213455483870967,171.5428,9.4331,2021_04
DADA SIBA,02-024-02112,0.2134929032258064,33.0914,3.9865,2021_04
DADAHU,02-032-00048,0.1071470967741935,16.6078,4.3394,2021_04
DALHOUSIE,02-023-00005,0.1683774193548387,31.3182,4.5241,2021_04
DERA GOPIPUR,02-024-02113,0.1999238095238095,130.1504,4.2459,2021_04
