object_id,distance_from_sea,min_distance_from_sea,timeperiod
21-384-03276,36.357,11.386,
21-384-03277,61.427,35.424,
21-384-03278,11.702,1.005,
21-384-03279,24.989,7.77,
21-384-03280,4.916,0.0,
21-384-03281,52.367,31.777,
21-384-03282,19.986,0.632,
21-384-03283,6.816,0.0,
21-393-03284,159.539,141.89,
21-393-03285,173.36,153.072,
21-393-03286,212.821,198.036,
21-393-03287,218.04,201.887,
21-393-03288,178.985,157.742,
21-393-03289,168.428,158.023,
21-393-03290,219.779,190.758,
21-393-03291,167.156,147.729,
21-393-03292,208.345,195.061,
21-393-03293,195.975,177.672,
21-393-03294,155.559,144.841,
21-393-03295,191.182,177.03,
21-393-03296,195.658,183.238,
21-393-03297,231.887,215.244,
21-377-03298,8.287,0.1,
21-377-03299,3.993,0.0,
21-377-03300,2.83,0.0,
21-377-03301,7.376,0.0,
21-377-03302,5.395,0.0,
21-377-03303,3.761,0.0,
21-377-03304,34.672,21.759,
21-377-03305,21.031,8.459,
21-377-03306,28.722,13.201,
21-377-03307,6.264,0.0,
21-377-03308,21.092,8.7,
21-377-03309,17.468,4.604,
21-370-03310,152.719,134.085,
21-370-03311,127.651,114.034,
21-370-03312,144.731,132.155,
21-370-03313,141.332,126.543,
21-370-03314,152.553,137.687,
21-370-03315,124.197,111.81,
21-370-03316,160.52,148.145,
21-370-03317,176.798,165.301,
21-370-03318,218.563,196.264,
21-370-03319,194.778,173.983,
21-370-03320,224.483,203.405,
21-370-03321,169.016,151.417,
21-378-03322,7.289,0.0,
21-378-03323,28.872,18.668,
21-378-03324,15.775,6.912,
21-378-03325,30.75,20.854,
21-378-03326,6.829,0.0,
21-378-03327,18.587,10.072,
21-378-03328,19.93,11.748,
21-391-03329,103.041,81.483,
21-391-03330,77.246,55.397,
21-391-03331,136.474,114.24,
21-381-03332,18.618,7.245,
21-381-03333,35.737,25.805,
21-381-03334,39.727,24.889,
21-381-03335,30.057,13.7,
21-381-03336,9.854,2.402,
21-381-03337,3.325,0.0,
21-381-03338,1.778,0.0,
21-381-03339,9.132,2.28,
21-381-03340,40.128,26.277,
21-381-03341,2.389,0.0,
21-381-03342,3.076,0.0,
21-381-03343,3.453,0.0,
21-381-03344,10.785,1.063,
21-381-03345,27.898,20.817,
21-373-03346,31.609,12.928,
21-373-03347,26.395,2.7,
21-373-03348,49.535,15.92,
21-383-03349,4.283,0.0,
21-383-03350,11.962,0.0,
21-383-03351,8.004,0.0,
21-383-03352,17.1,2.717,
21-383-03353,8.441,0.0,
21-383-03354,19.158,0.0,
21-383-03355,8.257,0.0,
21-383-03356,5.969,0.0,
21-389-03357,34.055,23.049,
21-389-03358,49.417,31.092,
21-389-03359,55.608,40.979,
21-389-03360,63.514,36.003,
21-389-03361,57.185,37.224,
21-389-03362,42.173,27.412,
21-389-03363,30.812,13.591,
21-388-03364,40.771,31.579,
21-388-03365,26.107,15.741,
21-388-03366,58.278,49.075,
21-388-03367,78.147,62.91,
21-388-03368,47.845,38.624,
21-388-03369,5.316,0.0,
21-388-03370,8.487,0.0,
21-388-03371,48.982,37.13,
21-388-03372,26.349,13.858,
21-388-03373,5.862,0.0,
21-388-03374,22.21,7.728,
21-388-03375,70.701,53.025,
21-388-03376,29.936,20.915,
21-388-03377,16.91,3.828,
21-388-03378,16.325,8.102,
21-388-03379,20.772,4.875,
21-388-03380,35.243,26.031,
21-388-03381,18.183,6.684,
21-388-03382,6.411,0.0,
21-388-03383,37.571,25.602,
21-388-03384,35.853,26.164,
21-388-03385,69.801,51.296,
21-380-03386,5.341,0.0,
21-380-03387,3.48,0.0,
21-380-03388,4.083,0.0,
21-380-03389,4.965,0.0,
21-380-03390,3.753,0.0,
21-380-03391,2.351,0.0,
21-380-03392,10.242,5.604,
21-380-03393,12.898,5.215,
21-382-03394,9.404,0.0,
21-382-03395,2.52,0.0,
21-382-03396,3.168,0.0,
21-382-03397,3.788,0.0,
21-382-03398,13.463,0.0,
21-382-03399,9.517,2.802,
21-382-03400,3.204,0.0,
21-382-03401,10.673,0.0,
21-382-03402,1.792,0.0,
21-382-03403,12.668,0.0,
21-371-03404,121.527,106.443,
21-371-03405,110.68,102.033,
21-371-03406,100.261,89.924,
21-371-03407,99.658,90.301,
21-371-03408,136.147,110.525,
21-395-03409,175.929,157.508,
21-395-03410,198.376,188.647,
21-395-03411,202.513,187.989,
21-395-03412,168.871,153.763,
21-395-03413,184.929,172.271,
21-395-03414,172.166,163.283,
21-395-03415,173.548,164.922,
21-395-03416,178.542,165.882,
21-395-03417,186.307,173.745,
21-395-03418,153.243,139.376,
21-395-03419,156.132,139.393,
21-395-03420,164.068,152.94,
21-395-03421,157.798,136.386,
21-390-03422,139.529,119.894,
21-390-03423,98.722,85.055,
21-390-03424,97.016,65.198,
21-390-03425,94.793,86.579,
21-390-03426,118.188,103.127,
21-390-03427,96.269,84.989,
21-390-03428,111.942,92.74,
21-390-03429,129.452,109.658,
21-390-03430,112.602,101.487,
21-390-03431,90.318,70.121,
21-390-03432,106.609,94.709,
