id,max,mean,count,sum
relation/10091503,0.4517663919448852,0.3301530424885284,133,43.91035465097428
relation/10091504,0.4517663919448852,0.4046787474762469,271,109.66794056606292
relation/10091539,0.3919307550907135,0.3401353212648381,192,65.30598168284892
relation/10091540,0.3919307550907135,0.2818618112955774,231,65.1100784092784
relation/10091541,0.283705261850357,0.2795736846997549,76,21.24760003718138
relation/10091542,0.283705261850357,0.283705261850357,178,50.499536609363545
relation/10091640,0.3320961873173714,0.3320961873173714,100,33.20961873173714
relation/10091641,0.3919307550907135,0.3563281982693314,213,75.89790623136759
relation/10091642,0.4427820675969124,0.3852978430002564,818,315.1736355742097
relation/10091643,0.4517663919448852,0.3168567476987839,282,89.35360285105708
relation/10091644,0.3470972941875457,0.3252770301196652,310,100.8358793370962
relation/10091699,0.5080438363909722,0.4333512808094534,534,231.4095839522481
relation/10091700,0.4427820675969124,0.396894346709909,580,230.19872109174725
relation/10092482,0.414970554447174,0.3911357389359058,241,94.26371308355333
relation/10092483,0.414970554447174,0.3993119249848758,204,81.45963269691467
relation/10092484,0.414970554447174,0.3444807514089888,220,75.78576530997753
relation/10092485,0.3821073640823364,0.3249278177694804,294,95.52877842422724
relation/10092486,0.3821073640823364,0.3530028042569452,294,103.7828244515419
relation/10092487,0.414970554447174,0.3855881492106759,199,76.73204169292451
relation/10092488,0.3659415280938148,0.3471377382661343,250,86.78443456653358
relation/10092489,0.3659415280938148,0.3606447484662834,213,76.81733142331838
relation/10092490,0.3659415280938148,0.3558539215710698,196,69.74736862792969
relation/10092491,0.4427820675969124,0.3403841129736845,688,234.1842697258949
relation/10092492,0.3327559374809265,0.3313806744004572,299,99.0828216457367
relation/10092493,0.3659415280938148,0.3659415280938149,6,2.1956491685628894
relation/10092494,0.3659415280938148,0.3659415280938148,25,9.148538202345373
relation/10092495,0.4427820675969124,0.3733925730188392,807,301.32780642620327
relation/10092496,0.5357885671615601,0.4604460676274649,451,207.66117649998665
relation/10092497,0.5357885671615601,0.5345572132778817,147,78.57991035184861
relation/10092498,0.5879187740325927,0.5349533972481705,327,174.9297609001517
relation/10092499,0.543235547542572,0.5105404974821257,315,160.8202567068696
relation/10093118,0.414970554447174,0.3028731435404883,162,49.06544925355911
relation/10093130,0.2818722040176392,0.2818722040176392,166,46.7907858669281
relation/10093221,0.414970554447174,0.3787267836425471,215,81.42625848314762
relation/10093222,0.414970554447174,0.4089311815602438,28,11.450073083686828
relation/10093223,0.414970554447174,0.221794052964708,184,40.81010574550629
relation/10093224,0.2818722040176392,0.1199456187309103,188,22.549776321411137
relation/10093225,0.2958310591697692,0.1698409256592639,181,30.741207544326777
relation/10093226,0.2958310591697692,0.2875026666000109,119,34.2128173254013
relation/10093627,0.3938327493429184,0.3659928421952937,101,36.96527706172466
relation/10093628,0.3938327493429184,0.3750872118635178,25,9.377180296587944
relation/10093629,0.3938327493429184,0.3938327493429184,8,3.150661994743347
relation/10093630,0.3938327493429184,0.3938327493429184,50,19.69163746714592
relation/10093631,0.3938327493429184,0.3938327493429184,26,10.239651482915878
relation/10093632,0.4796560661315918,0.3484907998365564,283,98.62289635374546
relation/10093633,0.3938327493429184,0.3938327493429184,22,8.664320485544206
relation/10093725,0.5879187740325927,0.5431288081470685,253,137.41158846120834
relation/10093726,0.5879187740325927,0.5859239871357168,224,131.24697311840058
relation/10093727,0.5879187740325927,0.5634927861114343,144,81.14296120004654
relation/10093728,0.5357885671615601,0.4097920918287015,204,83.59758673305511
relation/10093729,0.5879187740325927,0.4768903183832081,436,207.92417881507876
relation/10093730,0.4796560661315918,0.366697222431072,241,88.37403060588836
relation/10095628,0.2526968997716903,0.2038248495056515,147,29.962252877330783
relation/10095629,0.2724463232040405,0.2286849494892926,168,38.41907151420117
relation/10095630,0.2526968997716903,0.2489052695359823,53,13.191979285407063
relation/10095631,0.2526968997716903,0.2526968997716903,81,20.46844888150692
relation/10095669,0.3320961873173714,0.2604539201714491,266,69.28074276560545
relation/10095791,0.4066377164840698,0.2597548086941608,489,127.02010145144465
relation/10095792,0.3303688570976257,0.2650707394431483,310,82.17192922737598
relation/10095924,0.3320961873173714,0.3173526700868418,228,72.35640877979995
relation/10095925,0.3320961873173714,0.2626006758397772,131,34.400688535010815
relation/10096359,0.3756292149066925,0.3091684529499321,257,79.45629240813255
relation/10096360,0.4066377164840698,0.3925372437148258,290,113.8358006772995
relation/10096361,0.4066377164840698,0.3341297150211221,169,56.46792183856964
relation/10096363,0.4066377164840698,0.3253263610844612,625,203.32897567778824
relation/10096420,0.3756292149066925,0.3287886220142359,391,128.55635120756625
relation/10097234,0.4066377164840698,0.3818027767293145,751,286.73388532371524
relation/10097235,0.4066377164840698,0.2666689943733607,365,97.33418294627668
relation/10097236,0.378107285118103,0.240045273305319,599,143.7871187098861
relation/10097307,0.543235547542572,0.5343772330560547,138,73.74405816173554
relation/10097308,0.543235547542572,0.543235547542572,219,118.96858491182329
relation/10097309,0.543235547542572,0.3780894564922526,320,120.98862607752083
relation/10097310,0.543235547542572,0.3198200983169988,362,115.77487559075357
relation/10097311,0.378107285118103,0.336637315111592,243,81.80286757211685
relation/10097312,0.3931182379007339,0.3623312300313134,485,175.730646565187
relation/10098001,0.3175318733215332,0.3175318733215332,8,2.5402549865722657
relation/10098002,0.407085648059845,0.2861466493284102,278,79.54876851329804
relation/10098003,0.407085648059845,0.3312352563967023,175,57.96616986942291
relation/10098004,0.4441821715354919,0.4152719367793113,264,109.63179130973818
relation/10098005,0.407085648059845,0.3837123094152605,209,80.19587266778944
