block_lgd,dtname,dtcode11,block_name,object_id,max,mean,count,sum
03276,Anugul,384,ANUGUL,21-384-03276,0.28689417667388917,0.2664362597570132,964,256.84455440576073
03277,Anugul,384,ATHMALLIK,21-384-03277,0.3348323387145996,0.23518427353495974,892,209.7843719931841
03278,Anugul,384,BANARPAL,21-384-03278,0.268299054980278,0.25851930341321416,221,57.132766054320335
03279,Anugul,384,CHHENDIPADA,21-384-03279,0.3348323387145996,0.2586741327346804,832,215.21687843525407
03280,Anugul,384,KANIHA,21-384-03280,0.22855433168411257,0.2028836427798402,621,125.99074216628077
03281,Anugul,384,KISHORENAGAR,21-384-03281,0.3348323387145996,0.2718535310967676,731,198.72493123173712
03282,Anugul,384,PALALAHADA,21-384-03282,0.3380737717628479,0.25385751335644346,1016,257.91923357014656
03283,Anugul,384,TALACHER,21-384-03283,0.26740500714778903,0.2245883038408728,251,56.37166426405907
03284,Balangir,393,AGALPUR,21-393-03284,0.19397267684936526,0.08401517617821692,280,23.52424932990074
03285,Balangir,393,BALANGIR,21-393-03285,0.37712219951152803,0.30967850146423354,386,119.53590156519414
03286,Balangir,393,BANGOMUNDA,21-393-03286,0.326959840297699,0.25105632220867075,301,75.56795298480989
03287,Balangir,393,BELPARA,21-393-03287,0.326959840297699,0.30971750489248606,488,151.1421423875332
03288,Balangir,393,DEOGAON,21-393-03288,0.37712219951152803,0.34093962810257283,427,145.5812211997986
03289,Balangir,393,GUDVELLA,21-393-03289,0.6577639455318451,0.3938506222303184,212,83.4963319128275
03290,Balangir,393,KHAPRAKHOL,21-393-03290,0.3723763540029526,0.24694249203488636,555,137.05308307936193
03291,Balangir,393,LOISINGA,21-393-03291,0.3723763540029526,0.26617174213512523,333,88.6351901309967
03292,Balangir,393,MURIBAHAL,21-393-03292,0.34194618399143223,0.2927498491974369,407,119.14918862335682
03293,Balangir,393,PATNAGARH,21-393-03293,0.3723763540029526,0.3276891314579499,562,184.16129187936787
03294,Balangir,393,PUINTALA,21-393-03294,0.37712219951152803,0.26333209197127855,297,78.20963131546974
03295,Balangir,393,SAINTALA,21-393-03295,0.5807518789768219,0.3091891941036497,539,166.6529756218672
03296,Balangir,393,TITLAGARH,21-393-03296,0.34194618399143223,0.3040031182602296,421,127.98531278755665
03297,Balangir,393,TUREKELA,21-393-03297,0.326959840297699,0.30933940831862,456,141.0587701932907
03298,Baleshwar,377,BAHANAGA,21-377-03298,0.3042577431201935,0.29636514141467896,208,61.64394941425323
03299,Baleshwar,377,BALESHWAR,21-377-03299,0.34634577436447145,0.3352702815714215,373,125.05581502614024
03300,Baleshwar,377,BALIAPAL,21-377-03300,0.405171759557724,0.15967213108911257,263,41.99377047643661
03301,Baleshwar,377,BASTA,21-377-03301,0.405171759557724,0.3575074457281194,235,84.01424974610805
03302,Baleshwar,377,BHOGRAI,21-377-03302,0.4397206096291542,0.329469070406253,293,96.53443762903213
03303,Baleshwar,377,JALESWAR,21-377-03303,0.405171759557724,0.39551597053793874,328,129.7292383364439
03304,Baleshwar,377,KHAIRA,21-377-03304,0.2815027877807617,0.25126655777123746,287,72.11350208034516
03305,Baleshwar,377,NILGIRI,21-377-03305,0.3042577431201935,0.29311461566150593,298,87.34815546712876
03306,Baleshwar,377,OUPADA,21-377-03306,0.3042577431201935,0.26057420231017275,289,75.30594446763993
03307,Baleshwar,377,REMUNA,21-377-03307,0.34634577436447145,0.28607730132919373,264,75.52440755090714
03308,Baleshwar,377,SIMULIA,21-377-03308,0.3211841886997223,0.27312438000017597,186,50.80113468003273
03309,Baleshwar,377,SORO,21-377-03309,0.3042577431201935,0.2881287713609965,226,65.11710232758521
03310,Bargarh,370,AMBABHONA,21-370-03310,0.24220998029708862,0.2099630442053865,569,119.46897215286492
03311,Bargarh,370,ATTABIRA,21-370-03311,0.33922872354984285,0.2660378693931011,543,144.4585630804539
03312,Bargarh,370,BARGARH,21-370-03312,0.33922872354984285,0.19934305593027063,251,50.03510703849793
03313,Bargarh,370,BARPALI,21-370-03313,0.33922872354984285,0.2503762436756831,334,83.62566538767815
03314,Bargarh,370,BHATLI,21-370-03314,0.24220998029708862,0.21549493450851215,339,73.05278279838562
03315,Bargarh,370,BHEDEN,21-370-03315,0.33922872354984285,0.32840956896602375,324,106.4047003449917
03316,Bargarh,370,BIJEPUR,21-370-03316,0.23387619141340257,0.1532328218540824,282,43.21165576285124
03317,Bargarh,370,GAISILET,21-370-03317,0.3723763540029526,0.14234530496346326,342,48.682094297504435
03318,Bargarh,370,JHARBANDH,21-370-03318,0.28357414686679844,0.1950380346806495,455,88.74230577969553
03319,Bargarh,370,PADAMPUR,21-370-03319,0.3723763540029526,0.23090127818323322,525,121.22317104619744
03320,Bargarh,370,PAIKMAL,21-370-03320,0.28357414686679844,0.1671930947764898,607,101.48620852932932
