Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Tender Stage
Odisha Agro Industries Corporation Ltd.,M.D./OAIC-08 (A.I.)/2023-24,2023_OAICL_88475_1,Yes,National Competitive Bid,EOI,Services,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Technical Bid documents as per EOI document,27-Apr-2023 06:40 PM,11-May-2023 11:30 AM,27-Apr-2023 06:40 PM,10-May-2023 05:30 PM,NA ,NA ,27-Apr-2023 06:40 PM,10-May-2023 05:30 PM,"1,00,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"5,900",Nil,Nil,No,"MD, OAIC, BBSR","O/o the MD, OAIC, BBSR","INSECTICIDES, HERBICIDES, FUNGICIDES, BIOPESTICIDES, PLANT GROWTH REGULATORS, MICRONUTRIENTS","INSECTICIDES, HERBICIDES, FUNGICIDES, BIOPESTICIDES, PLANT GROWTH REGULATORS, MICRONUTRIENTS",Please refer Tender documents. ,NA ,,Miscellaneous Services,NA ,Tender,90.0,365.0,Bhubaneswar,751001.0,NA ,NA ,NA ,"O/o the MD, OAIC, BBSR",No ,No,AOC,01-Oct-2023,INR 0,365.0,Prem Chand Choudhry,25-Jun-2024 05:24 PM,AGROINPUT.pdf (7866.00 KB),1.0,2126764.0,Land Marshal Chemical Industries,INR,11.83,1,2127155,ADAMA INDIA PRIVATE LIMITED,09-May-2023 07:02 PM,Accepted-AOC,Awarded,25-Jun-2024 05:24 PM,Finance,36 bidders participated.,Dillip Kumar Mohanty,17-May-2023 12:56 PM,,Managing Director,Internal,COMMITTEE MEMBER DETAILS,Prem Chand Choudhry,16-Sep-2023 12:31 PM,finsummary_435986.pdf (6524.93 KB),Odisha Agro Industries Corporation Ltd.,2023_OAICL_88475_1,M.D./OAIC-08 (A.I.)/2023-24,"INSECTICIDES, HERBICIDES, FUNGICIDES, BIOPESTICIDES, PLANT GROWTH REGULATORS, MICRONUTRIENTS",Managing Director,Internal,committee member details attached,Prem Chand Choudhry,28-Aug-2023 11:39 AM,techsummary_435986.pdf (4905.38 KB),1.0,revoke,document,17-May-2023 12:45 PM,REVOKE1.pdf ,290.27,Technical Opening,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,2127155.0,ADAMA INDIA PRIVATE LIMITED,INR,280.0,2,2128396,Agro Life Science Corporation,08-May-2023 03:56 PM,Rejected-Technical,disqualified,28-Aug-2023 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3.0,2128498.0,B N KN FERTI CHEM,INR,665.0,3,2128952,Ajay Bio-Tech (India) Ltd.,09-May-2023 06:34 PM,Rejected-Finance,DISQUALIFIED,16-Sep-2023 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4.0,2128512.0,PARAMOUNT PESTICIDES LIMITED,INR,175.0,4,2128489,BEENA CHEMICALS AND FERTILIZERS PRIVATE LIMITED,09-May-2023 08:31 PM,Rejected-Finance,DISQUALIFIED,16-Sep-2023 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5.0,2128929.0,Rallis India Limited,INR,170.0,5,2135032,Best Agrolife Ltd,10-May-2023 04:33 PM,Accepted-AOC,Awarded,25-Jun-2024 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6.0,2128989.0,DEWBORN AGRONUTRIENTS,INR,153.0,6,2128498,B N KN FERTI CHEM,09-May-2023 08:03 PM,Accepted-AOC,Awarded,25-Jun-2024 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7.0,2129166.0,Crystal Crop Protection Limited,INR,98.9,7,2133894,BP AGRO CHEMICALS,09-May-2023 04:24 PM,Rejected-Finance,DISQUALIFIED,16-Sep-2023 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8.0,2130517.0,Total Agri Care Concern Private Limited,INR,137.75,8,2133962,CENTRAL INSECTICIDES AND FERTILIZERS,10-May-2023 03:12 PM,Accepted-AOC,Awarded,25-Jun-2024 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9.0,2130942.0,KALINGA BIO FERTI-CHEM PRIVATE LIMITED,INR,30.6,9,2132160,CHITTA RANJAN MAHAPATRA,09-May-2023 08:09 PM,Accepted-AOC,Awarded,25-Jun-2024 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10.0,2131075.0,UPL LTD,INR,194.85,10,2135112,CropG1 Agro Research & Development Private Limited,10-May-2023 02:29 PM,Accepted-AOC,Awarded (Order not placed),25-Jun-2024 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
