class,age,male,female
0,0 to 1,880.53,802.64
1,1 to 5,3373.88,3070.11
10,10 to 15,4599.83,4280.78
15,15 to 20,4499.18,4280.32
20,20 to 25,4634.74,4360.49
25,25 to 30,4826.82,4551.33
30,30 to 35,4556.68,4171.72
35,35 to 40,4207.63,3903.74
40,40 to 45,3666.62,3446.16
45,45 to 50,3308.11,3073.87
5,5 to 10,4279.64,3942.86
50,50 to 55,2824.88,2720.59
55,55 to 60,2402.56,2205.82
60,60 to 65,1871.46,1807.53
65,65 to 70,1504.58,1433.81
70,70 to 75,940.92,1042.85
75,75 to 80,654.71,697.98
80,80 and over,514.93,602.84
