class,age,male,female
0,0 to 1,1070.26,990.96
1,1 to 5,4100.87,3790.43
10,10 to 15,5553.13,5273.27
15,15 to 20,6281.32,6330.55
20,20 to 25,6257.99,5900.15
25,25 to 30,6063.33,5540.36
30,30 to 35,5878.81,5451.32
35,35 to 40,5610.35,5226.46
40,40 to 45,5058.22,4941.82
45,45 to 50,4518.07,4344.16
5,5 to 10,4567.35,4213.91
50,50 to 55,3950.31,4001.11
55,55 to 60,3554.63,3423.19
60,60 to 65,2982.74,2919.43
65,65 to 70,2242.22,2330.8
70,70 to 75,1473.7,1626.98
75,75 to 80,798.48,981.57
80,80 and over,677.08,766.81
