class,age,male,female
0,0 to 1,1312.85,1123.28
1,1 to 5,5030.38,4296.53
10,10 to 15,6813.51,6276.3
15,15 to 20,6592.16,6526.25
20,20 to 25,6866.69,6654.92
25,25 to 30,6752.22,6335.59
30,30 to 35,6698.16,6215.92
35,35 to 40,6252.41,5700.92
40,40 to 45,5482.49,5071.79
45,45 to 50,4811.25,4355.16
5,5 to 10,5973.72,5237.94
50,50 to 55,4064.82,3908.13
55,55 to 60,3661.52,3283.75
60,60 to 65,3021.86,2803.18
65,65 to 70,2166.85,1943.13
70,70 to 75,1447.5,1388.97
75,75 to 80,835.02,807.73
80,80 and over,753.5,698.73
