class,age,male,female
0,0 to 1,591.15,539.75
1,1 to 5,2265.06,2064.53
10,10 to 15,3056.85,2875.42
15,15 to 20,3329.36,3315.48
20,20 to 25,3415.4,3354.54
25,25 to 30,3354.82,3151.85
30,30 to 35,3153.71,2957.97
35,35 to 40,2960.78,2800.45
40,40 to 45,2686.95,2642.76
45,45 to 50,2458.98,2351.96
5,5 to 10,2706.52,2452.38
50,50 to 55,2103.03,2141.67
55,55 to 60,1901.53,1780.05
60,60 to 65,1564.04,1464.37
65,65 to 70,1115.42,1072.28
70,70 to 75,694.87,764.26
75,75 to 80,424.5,449.31
80,80 and over,335.23,387.2
