class,age,male,female
0,0 to 1,986.77,910.83
1,1 to 5,3780.94,3483.94
10,10 to 15,4656.61,4460.99
15,15 to 20,4864.81,4835.04
20,20 to 25,4720.47,4310.98
25,25 to 30,4506.45,4157.87
30,30 to 35,4339.93,4110
35,35 to 40,4187.24,3850.37
40,40 to 45,3716.96,3641.68
45,45 to 50,3319.1,3171.77
5,5 to 10,4228.63,3942.26
50,50 to 55,2899.09,2936.31
55,55 to 60,2642.83,2711.01
60,60 to 65,2495.06,2463.07
65,65 to 70,1830.38,1837.79
70,70 to 75,1126.22,1236.16
75,75 to 80,599.84,740.06
80,80 and over,532.06,657.13
