class,age,male,female
0,0 to 1,1712.43,1602.96
1,1 to 5,6561.42,6131.3
10,10 to 15,8778.45,8332.84
15,15 to 20,7709.04,7428.39
20,20 to 25,7243.72,7428.03
25,25 to 30,7375.88,7218.21
30,30 to 35,6856.33,6803.12
35,35 to 40,6639.7,6712.13
40,40 to 45,6202.83,6387.33
45,45 to 50,5788.08,5715.05
5,5 to 10,8779.31,8053.13
50,50 to 55,4910.56,5133.95
55,55 to 60,4286.17,4203.07
60,60 to 65,3455.45,3518.86
65,65 to 70,2405.35,2487.26
70,70 to 75,1376.84,1717.36
75,75 to 80,787.4,999.68
80,80 and over,610.75,768.87
