class,age,male,female
0,0 to 1,1261.35,1079.42
1,1 to 5,4833.04,4128.77
10,10 to 15,6551.35,6034.48
15,15 to 20,6332.71,6272.49
20,20 to 25,6599.23,6395.6
25,25 to 30,6487.59,6085.03
30,30 to 35,6435.38,5971.35
35,35 to 40,6004.94,5476.64
40,40 to 45,5266.73,4871.56
45,45 to 50,4622.06,4181.2
5,5 to 10,5741.5,5033.43
50,50 to 55,3903.44,3749.62
55,55 to 60,3513.35,3148.83
60,60 to 65,2897.95,2688.91
65,65 to 70,2077.47,1862.67
70,70 to 75,1387.69,1331.49
75,75 to 80,799.67,774
80,80 and over,722.96,670.46
