class,age,male,female
0,0 to 1,792.32,699.66
1,1 to 5,3035.9,2676.19
10,10 to 15,4180.54,3734.01
15,15 to 20,4716.49,4303.08
20,20 to 25,5233.74,4777.39
25,25 to 30,5056.15,4862.08
30,30 to 35,4996.11,4587.95
35,35 to 40,4662.84,4293.73
40,40 to 45,4111.94,3721.87
45,45 to 50,3617.76,3289.59
5,5 to 10,3798.03,3373.79
50,50 to 55,3078.31,2890.85
55,55 to 60,2781.88,2409.35
60,60 to 65,2076.95,1805.37
65,65 to 70,1502.14,1307.44
70,70 to 75,995.88,996.59
75,75 to 80,684.27,674.68
80,80 and over,607.1,632.06
