class,age,male,female
0,0 to 1,1063.99,977.3
1,1 to 5,4076.82,3738.16
10,10 to 15,5227.94,5044.22
15,15 to 20,5817.28,5805.5
20,20 to 25,5687.71,5034.05
25,25 to 30,5370.81,4674.48
30,30 to 35,4960.89,4494.73
35,35 to 40,4659.59,4167.74
40,40 to 45,4012.32,3851.55
45,45 to 50,3519.81,3343.57
5,5 to 10,4489.47,4158.55
50,50 to 55,3097.9,3222.77
55,55 to 60,2914.45,3008.02
60,60 to 65,2841.63,2710.09
65,65 to 70,2150.11,1986.67
70,70 to 75,1282.55,1323
75,75 to 80,688.9,766.08
80,80 and over,608.42,691.69
