id,max,mean,count,sum
relation/10103710,0.5709650472164154,0.5650875491669303,57,32.209990302515024
relation/10103711,0.6130956474781036,0.4916184736857609,196,96.35722084240912
relation/10103712,0.5190013236403466,0.5077752797062419,452,229.5144264272213
relation/10103713,0.5190013236403466,0.4235895451098018,135,57.18458858982325
relation/10103714,0.5735459506750107,0.5573747014677775,192,107.01594268181329
relation/10103715,0.6130956474781036,0.5882526209184946,363,213.53570139341355
relation/10103716,0.6447664413928985,0.5506255311062356,714,393.1466292098522
relation/10103717,0.8739999040603638,0.6170329625011072,410,252.98351462545395
relation/10104745,0.466374670124054,0.385621522828679,486,187.412060094738
relation/10104746,0.466374670124054,0.4385567402914513,86,37.71587966506481
relation/10104747,0.466374670124054,0.4454603224457635,135,60.13714353017807
relation/10104748,0.466374670124054,0.466374670124054,80,37.30997360992432
relation/10104749,0.466374670124054,0.466374670124054,46,21.453234825706485
relation/10104750,0.7821750709533691,0.5147291889817627,108,55.59075241003037
relation/10104751,0.6220078545570373,0.6020548821938343,39,23.48014040555954
relation/10104752,0.7134061281681061,0.5497958935417687,313,172.0861146785736
relation/10104753,0.6220078545570373,0.6212805966858552,214,132.95404769077302
relation/10104754,0.7133592636823655,0.6850088263676084,290,198.65255964660645
relation/10104933,0.5182488669872284,0.4897072321654604,385,188.53728438370229
relation/10104934,0.5170197765350342,0.5096257840958721,406,206.90806834292408
relation/10104935,0.5082201102256775,0.4533988135583462,694,314.6587766094923
relation/10104936,0.7661525191307068,0.5334823680646072,438,233.66527721229795
relation/10104937,0.7661525191307068,0.5723690099171578,540,309.0792653552652
relation/10104938,0.7661525191307068,0.733863964574337,260,190.80463078932763
relation/10104939,0.7661525191307068,0.5575643500534777,188,104.8220978100538
relation/10104940,0.7134061281681061,0.5507980933596787,103,56.7322036160469
relation/10104941,0.4432669735670089,0.4334060549020767,120,52.00872658824921
relation/10104942,0.4432669735670089,0.4432669735670089,11,4.875936709237099
relation/10104943,0.4432669735670089,0.4432669735670089,41,18.17394591624737
relation/10104944,0.4432669735670089,0.4432669735670089,19,8.42207249777317
relation/10104945,0.466374670124054,0.4266753108357698,209,89.17513996467589
relation/10104946,0.466374670124054,0.463400412151365,101,46.80344162728787
relation/10104947,0.466374670124054,0.4309824902697214,252,108.6075875479698
relation/10104948,0.5182488669872284,0.4194193125169694,623,261.298231698072
relation/10104949,0.5182488669872284,0.4515972670041404,472,213.15391002595425
relation/10104950,0.4729246621131897,0.4340961876879606,527,228.76869091155527
relation/10104951,0.3885750782012939,0.3677261465594512,307,112.89192699375153
relation/10104984,0.466374670124054,0.463306690971812,121,56.06010960758925
relation/10105553,0.7951636322498321,0.7207201981525858,339,244.3241471737266
relation/10105554,0.8243431710243225,0.7802355813734285,145,113.13415929914714
relation/10105555,0.8243431710243225,0.7626013367817664,191,145.6568553253174
relation/10105556,0.7413273373126984,0.6405749475798206,368,235.731580709374
relation/10105557,0.6590563803195953,0.582196705988116,493,287.0229760521412
relation/10105558,0.8842390473604202,0.6129262959694862,280,171.61936287145613
relation/10105559,0.8378726573467254,0.6431474241717575,194,124.77060028932095
relation/10105561,0.6590563803195953,0.586165972374951,571,334.70077022609706
