class,age,male,female
0,0 to 1,1811.41,1594.34
1,1 to 5,7093.39,6232.54
10,10 to 15,10349.54,9863.33
15,15 to 20,10156.16,9960.21
20,20 to 25,10036.16,9190.75
25,25 to 30,9430.05,9073.27
30,30 to 35,8760.16,8853.5
35,35 to 40,8121.17,8288.56
40,40 to 45,7532.87,7415.61
45,45 to 50,6632.38,6296.33
5,5 to 10,9472.59,8523.86
50,50 to 55,5548.65,5943.56
55,55 to 60,4873.74,4994.13
60,60 to 65,4275.74,4499.84
65,65 to 70,3114.69,3089.04
70,70 to 75,2065.85,2297.82
75,75 to 80,1297.24,1328.44
80,80 and over,1039.61,1171.46
