class,age,male,female
0,0 to 1,938.34,868.19
1,1 to 5,3674.5,3393.88
10,10 to 15,5007.97,4760.36
15,15 to 20,5584.8,5625.55
20,20 to 25,5529.44,5192.36
25,25 to 30,5353.2,4875.73
30,30 to 35,5126.9,4743.6
35,35 to 40,4775.92,4436.54
40,40 to 45,4296.78,4191.17
45,45 to 50,3833.86,3684.13
5,5 to 10,4209.74,3884.3
50,50 to 55,3362.74,3410.14
55,55 to 60,3015.15,2914.27
60,60 to 65,2550.57,2488.46
65,65 to 70,1825.65,1880.16
70,70 to 75,1202,1319.99
75,75 to 80,677.74,826.87
80,80 and over,576.9,652.23
