class,age,male,female
0,0 to 1,2086.62,1961.25
1,1 to 5,8171.09,7666.86
10,10 to 15,10912.35,10328.58
15,15 to 20,9245.19,9315.02
20,20 to 25,8714.44,8562.83
25,25 to 30,8935.82,8399.89
30,30 to 35,8310.3,8259.19
35,35 to 40,7949.71,7629.85
40,40 to 45,7024.45,6693.92
45,45 to 50,6156.97,5839.55
5,5 to 10,9696.74,9151.07
50,50 to 55,5205.92,5414.64
55,55 to 60,4914.52,4977.74
60,60 to 65,4731.03,4446.62
65,65 to 70,3053.96,2897.04
70,70 to 75,1867.95,1990.74
75,75 to 80,1017.16,1124.18
80,80 and over,824.04,904.51
