class,age,male,female
0,0 to 1,819.68,731.52
1,1 to 5,3209.84,2859.64
10,10 to 15,4408.62,4087.7
15,15 to 20,4002.49,4047.57
20,20 to 25,3887.13,3963.39
25,25 to 30,4006.52,3872.61
30,30 to 35,3796.18,3616.91
35,35 to 40,3478.16,3255.07
40,40 to 45,3096.6,2963.92
45,45 to 50,2766.26,2633.91
5,5 to 10,3953.38,3557.62
50,50 to 55,2352.77,2483.76
55,55 to 60,2254.65,2104.11
60,60 to 65,1913.68,1770.88
65,65 to 70,1218.15,1175.88
70,70 to 75,790.04,842.92
75,75 to 80,456.14,466.55
80,80 and over,387.57,386.39
