class,age,male,female
0,0 to 1,546.09,498.84
1,1 to 5,2138.47,1950.04
10,10 to 15,2828.61,2699.43
15,15 to 20,2837.4,2745.21
20,20 to 25,2876.79,2774.56
25,25 to 30,2842.19,2678.65
30,30 to 35,2641.16,2543.28
35,35 to 40,2493.75,2319.65
40,40 to 45,2210.73,2135.88
45,45 to 50,2028.68,1857.89
5,5 to 10,2732.32,2526.27
50,50 to 55,1624.81,1603.39
55,55 to 60,1434.38,1280.95
60,60 to 65,1041.02,1069.84
65,65 to 70,720.45,747.22
70,70 to 75,444.51,478.67
75,75 to 80,251.47,288.05
80,80 and over,199.16,222.88
