class,age,male,female
0,0 to 1,975.13,853.08
1,1 to 5,3818.55,3334.84
10,10 to 15,5527.4,5306.73
15,15 to 20,5374.46,5309.27
20,20 to 25,5290.02,4842.19
25,25 to 30,4965.78,4749.44
30,30 to 35,4593,4649.25
35,35 to 40,4267.85,4332.11
40,40 to 45,3956.57,3890.79
45,45 to 50,3484.47,3287.33
5,5 to 10,5074.17,4560.97
50,50 to 55,2914.1,3097.62
55,55 to 60,2582.58,2571.73
60,60 to 65,2216.21,2269.37
65,65 to 70,1576.41,1543.76
70,70 to 75,1088.26,1201.65
75,75 to 80,701.36,707.49
80,80 and over,578.59,630.34
