class,age,male,female
0,0 to 1,2042.27,1749.11
1,1 to 5,8154.77,6972.1
10,10 to 15,11173.31,10293
15,15 to 20,10598.07,10501.44
20,20 to 25,10937.64,10609.82
25,25 to 30,10771.04,10108.37
30,30 to 35,10512.01,9758.62
35,35 to 40,9472.26,8642.79
40,40 to 45,8364.95,7741.91
45,45 to 50,7324.55,6632.11
5,5 to 10,10113.77,8870.97
50,50 to 55,6215.9,5981.73
55,55 to 60,5541.73,4970.7
60,60 to 65,4570.99,4241
65,65 to 70,3006.42,2699.39
70,70 to 75,2083.07,2002.67
75,75 to 80,1256.93,1217.74
80,80 and over,1113.4,1033.7
