class,age,male,female
0,0 to 1,1670.19,1562.25
1,1 to 5,6669.03,6227.25
10,10 to 15,9022.19,8559.73
15,15 to 20,7801.09,7515.67
20,20 to 25,7289.51,7454.97
25,25 to 30,7436.63,7269.16
30,30 to 35,6809.33,6738.05
35,35 to 40,6355.63,6406.37
40,40 to 45,5963.13,6124.59
45,45 to 50,5544.68,5466
5,5 to 10,9303.08,8534.36
50,50 to 55,4727.02,4932.9
55,55 to 60,4078.5,3993.88
60,60 to 65,3285.47,3340.75
65,65 to 70,2109.72,2175.39
70,70 to 75,1257.92,1562.36
75,75 to 80,759.35,956.91
80,80 and over,577.9,724.75
