class,age,male,female
0,0 to 1,1466.38,1308.53
1,1 to 5,5855.24,5215.88
10,10 to 15,8362.39,7865.54
15,15 to 20,7999.39,8252.27
20,20 to 25,7995.91,8269.61
25,25 to 30,7965.57,8200.85
30,30 to 35,7398.42,7360.3
35,35 to 40,6566.01,6588.5
40,40 to 45,6037.46,6073.06
45,45 to 50,5468.25,5602.56
5,5 to 10,7387.9,6702.49
50,50 to 55,4978.99,5237.8
55,55 to 60,4527.66,4445.55
60,60 to 65,3822.88,3604.67
65,65 to 70,2840.11,2753.87
70,70 to 75,2139.19,2359.44
75,75 to 80,1747.62,1760.1
80,80 and over,1243.72,1333.56
