class,age,male,female
0,0 to 1,2330.02,2128.26
1,1 to 5,9303.77,8483.36
10,10 to 15,12633.09,12032.16
15,15 to 20,14019.89,13763.71
20,20 to 25,15367.32,14038.21
25,25 to 30,14926.18,13135.3
30,30 to 35,13462.89,11983.68
35,35 to 40,11886.82,10713.77
40,40 to 45,10464.81,10001.83
45,45 to 50,9449.04,8913.05
5,5 to 10,11267.37,10439.25
50,50 to 55,8015.94,7896.19
55,55 to 60,7161.05,6281.87
60,60 to 65,5408.32,5298.45
65,65 to 70,3756.1,3667.16
70,70 to 75,2375.22,2628.84
75,75 to 80,1543.97,1867.57
80,80 and over,1345.73,1502.5
