class,age,male,female
0,0 to 1,1063.35,989.1
1,1 to 5,4245.97,3942.63
10,10 to 15,5324.3,5067.71
15,15 to 20,4412.59,4410.65
20,20 to 25,4141.04,4160.55
25,25 to 30,4319.01,4127.18
30,30 to 35,4249.7,4232.21
35,35 to 40,4099.02,3893.39
40,40 to 45,3684.26,3633.45
45,45 to 50,3269.67,3188.82
5,5 to 10,5411.53,5050.92
50,50 to 55,2824.87,2851.53
55,55 to 60,2373.04,2535.09
60,60 to 65,2184.02,2289.81
65,65 to 70,1358.24,1497.51
70,70 to 75,796.99,1046.59
75,75 to 80,439.71,636.09
80,80 and over,359.07,491.52
