class,age,male,female
0,0 to 1,876.88,816.71
1,1 to 5,3501.37,3255.45
10,10 to 15,4270.82,4044.26
15,15 to 20,3496.74,3682.24
20,20 to 25,3329.78,3610.36
25,25 to 30,3511.46,3446.91
30,30 to 35,3185.15,3248.29
35,35 to 40,2984.39,3091.74
40,40 to 45,2809.38,2898.26
45,45 to 50,2492.91,2493.64
5,5 to 10,5092.09,4790.31
50,50 to 55,2052.92,2168.14
55,55 to 60,1551.27,1710.33
60,60 to 65,1289.37,1788.18
65,65 to 70,844.9,1175.88
70,70 to 75,415.22,688.51
75,75 to 80,181.44,303.3
80,80 and over,144.6,243.58
