class,age,male,female
0,0 to 1,913.94,846.07
1,1 to 5,3649.34,3372.5
10,10 to 15,4945.77,4698.54
15,15 to 20,5450.31,5487.36
20,20 to 25,5376.31,5062.37
25,25 to 30,5212.78,4775.02
30,30 to 35,4979.71,4628.25
35,35 to 40,4594.43,4277.79
40,40 to 45,4168.81,4074.11
45,45 to 50,3715.38,3571.77
5,5 to 10,4245.34,3921.48
50,50 to 55,3265.49,3303.79
55,55 to 60,2906.2,2810.89
60,60 to 65,2459.5,2409.26
65,65 to 70,1691.9,1756.75
70,70 to 75,1150.15,1270.58
75,75 to 80,651.89,803.61
80,80 and over,544.45,621.84
