class,age,male,female
0,0 to 1,597.58,560.25
1,1 to 5,2386.14,2233.18
10,10 to 15,3075.7,2966.52
15,15 to 20,2341.89,2536.47
20,20 to 25,2317.13,2580.95
25,25 to 30,2415.61,2384.27
30,30 to 35,2116.89,2103.43
35,35 to 40,1968.14,2005.78
40,40 to 45,1881.99,1917.73
45,45 to 50,1674.58,1633.98
5,5 to 10,3358.85,3178.67
50,50 to 55,1405.17,1492.87
55,55 to 60,1220.17,1335.64
60,60 to 65,1260.63,1320.65
65,65 to 70,690.14,730.63
70,70 to 75,355.86,483.41
75,75 to 80,201.85,265.55
80,80 and over,139.36,206.39
