class,age,male,female
0,0 to 1,496.93,436.14
1,1 to 5,1984.22,1738.48
10,10 to 15,2882.41,2756.66
15,15 to 20,2802.61,2765.29
20,20 to 25,2790.15,2564.88
25,25 to 30,2635.59,2520.82
30,30 to 35,2425.76,2432.55
35,35 to 40,2225.95,2239.78
40,40 to 45,2073.07,2029.8
45,45 to 50,1824.85,1721.59
5,5 to 10,2666.9,2395.73
50,50 to 55,1535.43,1615.79
55,55 to 60,1348.85,1337.87
60,60 to 65,1156.16,1169.44
65,65 to 70,797.02,781.1
70,70 to 75,569.51,626.87
75,75 to 80,377.25,381.09
80,80 and over,303.21,329.99
