class,age,male,female
0,0 to 1,1271.53,1181.37
1,1 to 5,5077.22,4709.02
10,10 to 15,6398.41,6091.61
15,15 to 20,5317.13,5294.56
20,20 to 25,4985.42,4974.16
25,25 to 30,5184.36,4949.82
30,30 to 35,5138.67,5115.05
35,35 to 40,4969,4695.58
40,40 to 45,4458.97,4387.54
45,45 to 50,3955.28,3852.01
5,5 to 10,6412.55,5972.11
50,50 to 55,3430.25,3456.71
55,55 to 60,2900.81,3094.71
60,60 to 65,2686.21,2772.03
65,65 to 70,1666,1810.89
70,70 to 75,986.21,1281.13
75,75 to 80,549.65,791.38
80,80 and over,449.65,610.48
