class,age,male,female
0,0 to 1,534.87,467.94
1,1 to 5,2135.73,1865.24
10,10 to 15,3093.14,2969.1
15,15 to 20,2996.59,2959.55
20,20 to 25,2943.07,2693.9
25,25 to 30,2764.39,2644.01
30,30 to 35,2540.52,2570.74
35,35 to 40,2331.54,2365.85
40,40 to 45,2174.14,2137.4
45,45 to 50,1909.56,1801.3
5,5 to 10,2876.87,2585.82
50,50 to 55,1601.46,1701.61
55,55 to 60,1412.5,1405.9
60,60 to 65,1213.3,1241.82
65,65 to 70,832.35,814.84
70,70 to 75,591.87,653.35
75,75 to 80,384.13,387.46
80,80 and over,310.61,338.33
