class,age,male,female
0,0 to 1,1196.38,1046.79
1,1 to 5,4777.13,4172.58
10,10 to 15,6509.8,6046.08
15,15 to 20,7072.74,6778.97
20,20 to 25,7559.4,7025.81
25,25 to 30,7613.65,7163.08
30,30 to 35,7182.71,6592.94
35,35 to 40,6515.81,5958.32
40,40 to 45,5906.92,5349.45
45,45 to 50,5221.71,4770.47
5,5 to 10,5912.57,5266.67
50,50 to 55,4461.36,4338.07
55,55 to 60,4092.07,3621.54
60,60 to 65,3241.12,2937.53
65,65 to 70,2250.49,2120.32
70,70 to 75,1641.22,1711.26
75,75 to 80,1261.3,1239.47
80,80 and over,983.5,1024.59
