class,age,male,female
0,0 to 1,216.4,193.98
1,1 to 5,847.41,758.28
10,10 to 15,1253.63,1147.12
15,15 to 20,1303.98,1283.22
20,20 to 25,1422.91,1388.6
25,25 to 30,1514.19,1463.91
30,30 to 35,1400.02,1293.62
35,35 to 40,1239.29,1169.68
40,40 to 45,1144.6,1105.14
45,45 to 50,1023.3,997.85
5,5 to 10,1072.66,962.69
50,50 to 55,935.51,950.31
55,55 to 60,855,800.27
60,60 to 65,683.23,621.21
65,65 to 70,499.82,486.74
70,70 to 75,381.26,423.9
75,75 to 80,313.24,309.85
80,80 and over,246.84,251.58
