class,age,male,female
0,0 to 1,3047.8,2666.35
1,1 to 5,11935.03,10423.17
10,10 to 15,17276.13,16586.42
15,15 to 20,16798.11,16594.35
20,20 to 25,16534.18,15134.47
25,25 to 30,15520.76,14844.56
30,30 to 35,14355.63,14531.43
35,35 to 40,13339.34,13540.2
40,40 to 45,12366.44,12160.84
45,45 to 50,10890.86,10274.69
5,5 to 10,15859.53,14255.5
50,50 to 55,9108.14,9681.74
55,55 to 60,8071.97,8038.04
60,60 to 65,6926.84,7093.02
65,65 to 70,4927.12,4825.08
70,70 to 75,3401.42,3755.82
75,75 to 80,2192.13,2211.29
80,80 and over,1808.41,1970.14
