class,age,male,female
0,0 to 1,523.1,490.38
1,1 to 5,2048.44,1916.98
10,10 to 15,2637.18,2543.09
15,15 to 20,2017.77,2184.62
20,20 to 25,2000.65,2227.63
25,25 to 30,2084.84,2057.62
30,30 to 35,1840.05,1828.86
35,35 to 40,1732.22,1765.52
40,40 to 45,1646.09,1677.51
45,45 to 50,1468.58,1433.35
5,5 to 10,2844.99,2692.17
50,50 to 55,1228.75,1305.3
55,55 to 60,1070.68,1172.05
60,60 to 65,1102.53,1157.71
65,65 to 70,626.74,665.33
70,70 to 75,313.64,426.8
75,75 to 80,176.37,232.46
80,80 and over,124.41,184.42
