class,age,male,female
0,0 to 1,1677.58,1465.28
1,1 to 5,6569.32,5728
10,10 to 15,9184.58,8265.53
15,15 to 20,9823.79,9032.53
20,20 to 25,10683.99,9726.18
25,25 to 30,10501.16,10007.12
30,30 to 35,10167.99,9395.75
35,35 to 40,9401.46,8616.53
40,40 to 45,8297.02,7526.47
45,45 to 50,7334.35,6696.5
5,5 to 10,8467.28,7424.25
50,50 to 55,6237.78,6022.79
55,55 to 60,5737.83,5122.37
60,60 to 65,4552.91,3988.26
65,65 to 70,3160.44,2806.7
70,70 to 75,2138.58,2137.95
75,75 to 80,1538.79,1496.49
80,80 and over,1353.97,1361.99
