class,age,male,female
0,0 to 1,1537.18,1431.84
1,1 to 5,6019.52,5597.3
10,10 to 15,7330.54,6943.18
15,15 to 20,6026.12,6339.9
20,20 to 25,5755.18,6230.08
25,25 to 30,6066.4,5948.45
30,30 to 35,5550.45,5653.31
35,35 to 40,5267.38,5444.39
40,40 to 45,4923.57,5072.64
45,45 to 50,4382.67,4379.22
5,5 to 10,8600.05,8093.33
50,50 to 55,3602.93,3797.3
55,55 to 60,2745.03,3021.54
60,60 to 65,2287.73,3144.73
65,65 to 70,1551.27,2142.12
70,70 to 75,743.27,1221.45
75,75 to 80,325.42,540.49
80,80 and over,264.55,441.64
