class,age,male,female
0,0 to 1,1037.11,975.6
1,1 to 5,4061.28,3813.78
10,10 to 15,4426.33,4231.65
15,15 to 20,3571.47,3802.28
20,20 to 25,3569.34,3867.01
25,25 to 30,3841.97,3630.61
30,30 to 35,3549.2,3435.58
35,35 to 40,3301.93,3347.07
40,40 to 45,3081.73,3108.24
45,45 to 50,2833.38,2724.95
5,5 to 10,5228.25,5118.39
50,50 to 55,2297.53,2262.25
55,55 to 60,1848.43,1929.13
60,60 to 65,1672.63,2055.03
65,65 to 70,1098.43,1320.82
70,70 to 75,495.32,694.05
75,75 to 80,218.28,335.34
80,80 and over,157.73,242.58
