class,age,male,female
0,0 to 1,466.76,434.1
1,1 to 5,1827.82,1696.96
10,10 to 15,2309.27,2219.01
15,15 to 20,2000.13,2029.09
20,20 to 25,1808.48,1924.45
25,25 to 30,1831.77,1812.98
30,30 to 35,1674.76,1744.8
35,35 to 40,1609.57,1673.31
40,40 to 45,1469.77,1532.45
45,45 to 50,1315.19,1277.64
5,5 to 10,2546.6,2405.45
50,50 to 55,1043.35,1165.13
55,55 to 60,873.07,979.25
60,60 to 65,764.02,935.28
65,65 to 70,464.79,575.88
70,70 to 75,265.89,372.2
75,75 to 80,136.45,185.47
80,80 and over,100.91,153.3
