class,age,male,female
0,0 to 1,220.22,194.71
1,1 to 5,862.38,761.16
10,10 to 15,1204.03,1077.5
15,15 to 20,1332.86,1220.47
20,20 to 25,1471.12,1345.62
25,25 to 30,1423.01,1368.05
30,30 to 35,1390.4,1278.08
35,35 to 40,1269.63,1170.69
40,40 to 45,1122.56,1018.73
45,45 to 50,988.79,900.94
5,5 to 10,1111.34,987.55
50,50 to 55,843.41,793.89
55,55 to 60,755.73,658.4
60,60 to 65,566.75,494.4
65,65 to 70,392.12,344.13
70,70 to 75,263.14,264.7
75,75 to 80,188.77,186.57
80,80 and over,166.36,173.65
