class,age,male,female
0,0 to 1,839.26,763.02
1,1 to 5,3286.49,2982.78
10,10 to 15,4543.16,4240.6
15,15 to 20,4301.23,4171.7
20,20 to 25,4414.52,4181.14
25,25 to 30,4575.72,4344.08
30,30 to 35,4284.48,3933.5
35,35 to 40,3825.89,3542.68
40,40 to 45,3338.45,3157.84
45,45 to 50,3007.27,2832.62
5,5 to 10,4263.94,3919.34
50,50 to 55,2599.35,2534.9
55,55 to 60,2179.75,2033.48
60,60 to 65,1734.87,1661.49
65,65 to 70,1320.51,1251.25
70,70 to 75,881.21,965.7
75,75 to 80,633.43,657.81
80,80 and over,496.18,563.96
