class,age,male,female
0,0 to 1,1546.46,1375.94
1,1 to 5,6055.86,5378.77
10,10 to 15,8090.43,7477.04
15,15 to 20,8080.97,8122.74
20,20 to 25,8728.38,8521.04
25,25 to 30,8516.04,8119.15
30,30 to 35,7756.23,7281.69
35,35 to 40,6977.23,6592.08
40,40 to 45,6162.61,5918.57
45,45 to 50,5483.28,5425.74
5,5 to 10,7367.78,6687.23
50,50 to 55,4838.55,4981.13
55,55 to 60,4337.17,4326.1
60,60 to 65,3692.66,3415.34
65,65 to 70,2570.21,2488.19
70,70 to 75,1877.41,1994.17
75,75 to 80,1363.98,1373.87
80,80 and over,1093.75,1126.19
