class,age,male,female
0,0 to 1,631.32,594.36
1,1 to 5,2472.23,2323.45
10,10 to 15,3165.92,2974.18
15,15 to 20,2718.99,2634.36
20,20 to 25,2510.96,2588.29
25,25 to 30,2549.99,2439.38
30,30 to 35,2314.59,2268.94
35,35 to 40,2157.63,2149.89
40,40 to 45,1980.93,2032.26
45,45 to 50,1858.83,1811.95
5,5 to 10,3251.01,3016.29
50,50 to 55,1534.91,1606.84
55,55 to 60,1323.08,1300.07
60,60 to 65,1033.46,1105.64
65,65 to 70,686.5,737.04
70,70 to 75,373.06,474.51
75,75 to 80,215.86,275.64
80,80 and over,163.6,209.78
