class,age,male,female
0,0 to 1,602.67,564.21
1,1 to 5,2360.03,2205.6
10,10 to 15,3189,3027.39
15,15 to 20,2760.85,2660.43
20,20 to 25,2577.49,2644.28
25,25 to 30,2624.96,2569.36
30,30 to 35,2417.97,2400.32
35,35 to 40,2289.86,2315.98
40,40 to 45,2141.32,2205.99
45,45 to 50,1998.78,1974.09
5,5 to 10,3252.11,2983.07
50,50 to 55,1699.19,1777.05
55,55 to 60,1474.44,1446.2
60,60 to 65,1186.22,1208.29
65,65 to 70,785.99,813.15
70,70 to 75,453.05,565.51
75,75 to 80,269.35,342.4
80,80 and over,209.09,263.39
