class,age,male,female
0,0 to 1,824.01,771.41
1,1 to 5,3226.76,3015.57
10,10 to 15,4360.23,4139.21
15,15 to 20,3775.02,3637.69
20,20 to 25,3524.52,3615.64
25,25 to 30,3589.51,3513.39
30,30 to 35,3306.5,3282.17
35,35 to 40,3131.19,3166.71
40,40 to 45,2927.93,3016.19
45,45 to 50,2732.97,2699.12
5,5 to 10,4446.36,4078.53
50,50 to 55,2323.35,2429.71
55,55 to 60,2016.01,1977.33
60,60 to 65,1621.92,1652.05
65,65 to 70,1074.77,1111.84
70,70 to 75,619.56,773.28
75,75 to 80,368.39,468.24
80,80 and over,285.98,360.22
