class,age,male,female
0,0 to 1,598.45,504.42
1,1 to 5,2310.25,1943.86
10,10 to 15,2956.59,2735.91
15,15 to 20,3050.8,2906.35
20,20 to 25,3065.62,2974.56
25,25 to 30,3073.63,2966.42
30,30 to 35,3047.18,2853.59
35,35 to 40,2893.44,2588.98
40,40 to 45,2486.9,2323.36
45,45 to 50,2179.51,2070.85
5,5 to 10,2699,2399.67
50,50 to 55,1897.93,1945.54
55,55 to 60,1806.68,1693.77
60,60 to 65,1545.48,1409.58
65,65 to 70,1105.97,1002.7
70,70 to 75,737.78,710.87
75,75 to 80,466.85,434.8
80,80 and over,375.15,346.2
