class,age,male,female
0,0 to 1,621.37,582.55
1,1 to 5,2398.72,2244.95
10,10 to 15,3076.64,2967.43
15,15 to 20,2365.23,2561.75
20,20 to 25,2352.91,2620.81
25,25 to 30,2450.37,2418.59
30,30 to 35,2173.01,2159.19
35,35 to 40,2070.42,2110.02
40,40 to 45,1962.51,1999.78
45,45 to 50,1752.98,1710.48
5,5 to 10,3275.81,3100.08
50,50 to 55,1464.25,1555.64
55,55 to 60,1282.63,1404.01
60,60 to 65,1322.56,1385.53
65,65 to 70,773.27,818.63
70,70 to 75,381.74,518.56
75,75 to 80,211.77,278.6
80,80 and over,150.22,222.48
