class,age,male,female
0,0 to 1,870.98,795.12
1,1 to 5,3362.29,3064.15
10,10 to 15,4565.41,4297.96
15,15 to 20,4935.39,4903.02
20,20 to 25,5095.12,4979.97
25,25 to 30,5004.67,4681.31
30,30 to 35,4676.38,4370.76
35,35 to 40,4336.19,4086.49
40,40 to 45,3915.55,3841.07
45,45 to 50,3588.99,3424.38
5,5 to 10,4073.93,3699.3
50,50 to 55,3057.48,3098.91
55,55 to 60,2753.63,2550.14
60,60 to 65,2220.42,2091.41
65,65 to 70,1559.44,1506.81
70,70 to 75,964.57,1063.54
75,75 to 80,605.91,650.2
80,80 and over,486.06,559.37
